Filename             = m851_079.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 807
Profile              = 79
WaterDepth           = 3366
Date                 = 2011/07/21
Time                 = 14:43
Latitude             = 54 50.25 N
Longitude            = 043 27.46 W
Columns              = p:t:pt:s:sth:o
 123.0  4.1184  4.1098 34.7040 27.5392  6.901
 124.0  4.1125  4.1038 34.7031 27.5391  6.862
 125.0  4.1100  4.1013 34.7024 27.5388  6.848
 126.0  4.1092  4.1003 34.7022 27.5387  6.849
 127.0  4.1091  4.1002 34.7023 27.5389  6.851
 128.0  4.1054  4.0964 34.7029 27.5398  6.852
 129.0  4.0988  4.0898 34.7041 27.5414  6.852
 130.0  4.0920  4.0829 34.7060 27.5436  6.850
 131.0  4.0867  4.0775 34.7076 27.5454  6.846
 132.0  4.0836  4.0744 34.7084 27.5464  6.842
 133.0  4.0811  4.0718 34.7089 27.5471  6.839
 134.0  4.0789  4.0695 34.7089 27.5474  6.833
 135.0  4.0766  4.0671 34.7089 27.5476  6.829
 136.0  4.0733  4.0638 34.7087 27.5478  6.827
 137.0  4.0636  4.0541 34.7079 27.5482  6.827
 138.0  4.0509  4.0413 34.7072 27.5490  6.826
 139.0  4.0366  4.0269 34.7064 27.5498  6.824
 140.0  4.0222  4.0124 34.7070 27.5518  6.822
 141.0  4.0115  4.0016 34.7082 27.5539  6.823
 142.0  4.0030  3.9932 34.7084 27.5549  6.826
 143.0  3.9945  3.9846 34.7083 27.5557  6.827
 144.0  3.9843  3.9743 34.7081 27.5567  6.829
 145.0  3.9764  3.9663 34.7082 27.5576  6.834
 146.0  3.9707  3.9606 34.7081 27.5581  6.832
 147.0  3.9642  3.9540 34.7077 27.5584  6.827
 148.0  3.9577  3.9475 34.7074 27.5589  6.828
 149.0  3.9517  3.9414 34.7070 27.5592  6.833
 150.0  3.9412  3.9308 34.7066 27.5599  6.837
 151.0  3.9288  3.9184 34.7071 27.5617  6.840
 152.0  3.9218  3.9113 34.7084 27.5634  6.840
 153.0  3.9180  3.9074 34.7091 27.5644  6.837
 154.0  3.9146  3.9039 34.7093 27.5649  6.840
 155.0  3.9122  3.9015 34.7095 27.5653  6.845
 156.0  3.9082  3.8975 34.7095 27.5657  6.845
 157.0  3.9019  3.8911 34.7095 27.5664  6.843
 158.0  3.8972  3.8863 34.7098 27.5671  6.843
 159.0  3.8947  3.8838 34.7102 27.5677  6.846
 160.0  3.8929  3.8819 34.7109 27.5685  6.849
 161.0  3.8928  3.8817 34.7117 27.5691  6.846
 162.0  3.8931  3.8819 34.7120 27.5693  6.842
 163.0  3.8927  3.8815 34.7121 27.5694  6.842
 164.0  3.8922  3.8809 34.7121 27.5695  6.842
 165.0  3.8920  3.8807 34.7120 27.5694  6.843
 166.0  3.8925  3.8811 34.7120 27.5694  6.843
 167.0  3.8930  3.8815 34.7121 27.5694  6.839
 168.0  3.8930  3.8814 34.7121 27.5694  6.836
 169.0  3.8923  3.8807 34.7121 27.5695  6.839
 170.0  3.8879  3.8762 34.7124 27.5702  6.844
 171.0  3.8774  3.8656 34.7128 27.5716  6.843
 172.0  3.8671  3.8553 34.7131 27.5729  6.840
 173.0  3.8611  3.8492 34.7132 27.5736  6.837
 174.0  3.8565  3.8445 34.7138 27.5745  6.837
 175.0  3.8579  3.8459 34.7156 27.5759  6.842
 176.0  3.8661  3.8540 34.7180 27.5769  6.846
 177.0  3.8738  3.8616 34.7205 27.5782  6.845
 178.0  3.8786  3.8663 34.7227 27.5794  6.836
