Filename             = m851_018.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 711
Profile              = 18
WaterDepth           = 3385
Date                 = 2011/06/30
Time                 = 20:23
Latitude             = 47 37.13 N
Longitude            = 029 53.86 W
Columns              = p:t:pt:s:sth:o
 236.0 11.8639 11.8332 35.5597 27.0560  5.585
 237.0 11.8622 11.8312 35.5592 27.0560  5.579
 238.0 11.8607 11.8296 35.5592 27.0562  5.571
 239.0 11.8578 11.8266 35.5589 27.0566  5.569
 240.0 11.8532 11.8219 35.5583 27.0571  5.567
 241.0 11.8479 11.8165 35.5573 27.0573  5.567
 242.0 11.8383 11.8067 35.5571 27.0590  5.575
 243.0 11.8283 11.7967 35.5556 27.0598  5.580
 244.0 11.8235 11.7918 35.5541 27.0595  5.577
 245.0 11.8141 11.7822 35.5555 27.0624  5.570
 246.0 11.7929 11.7610 35.5554 27.0664  5.564
 247.0 11.7769 11.7448 35.5501 27.0653  5.557
 248.0 11.7742 11.7420 35.5450 27.0619  5.543
 249.0 11.7712 11.7388 35.5442 27.0619  5.529
 250.0 11.7694 11.7369 35.5437 27.0619  5.526
 251.0 11.7667 11.7341 35.5440 27.0627  5.530
 252.0 11.7609 11.7282 35.5438 27.0636  5.535
 253.0 11.7530 11.7201 35.5430 27.0645  5.529
 254.0 11.7382 11.7053 35.5415 27.0662  5.524
 255.0 11.7258 11.6928 35.5379 27.0657  5.523
 256.0 11.7203 11.6871 35.5353 27.0648  5.536
 257.0 11.7176 11.6843 35.5345 27.0647  5.571
 258.0 11.7191 11.6857 35.5342 27.0642  5.608
 259.0 11.7206 11.6871 35.5346 27.0642  5.641
 260.0 11.7209 11.6872 35.5349 27.0645  5.670
 261.0 11.7211 11.6873 35.5350 27.0645  5.681
 262.0 11.7196 11.6856 35.5352 27.0650  5.682
 263.0 11.7149 11.6809 35.5349 27.0657  5.684
 264.0 11.7094 11.6752 35.5334 27.0656  5.685
 265.0 11.7054 11.6711 35.5323 27.0655  5.672
 266.0 11.7038 11.6694 35.5317 27.0654  5.646
 267.0 11.7039 11.6693 35.5311 27.0649  5.621
 268.0 11.7064 11.6717 35.5310 27.0644  5.605
 269.0 11.7087 11.6738 35.5319 27.0646  5.600
 270.0 11.7070 11.6720 35.5324 27.0654  5.621
 271.0 11.7049 11.6698 35.5319 27.0654  5.650
 272.0 11.7037 11.6685 35.5320 27.0657  5.655
 273.0 11.7000 11.6646 35.5323 27.0667  5.656
 274.0 11.6948 11.6593 35.5319 27.0674  5.669
 275.0 11.6898 11.6542 35.5307 27.0674  5.687
 276.0 11.6869 11.6512 35.5293 27.0670  5.702
 277.0 11.6860 11.6501 35.5288 27.0667  5.697
 278.0 11.6830 11.6470 35.5287 27.0672  5.676
 279.0 11.6800 11.6440 35.5282 27.0674  5.665
 280.0 11.6783 11.6421 35.5277 27.0674  5.667
 281.0 11.6769 11.6406 35.5274 27.0675  5.670
 282.0 11.6760 11.6395 35.5271 27.0674  5.674
 283.0 11.6754 11.6388 35.5268 27.0673  5.681
 284.0 11.6750 11.6383 35.5267 27.0673  5.689
 285.0 11.6746 11.6378 35.5267 27.0674  5.696
 286.0 11.6738 11.6368 35.5269 27.0677  5.697
 287.0 11.6709 11.6337 35.5271 27.0685  5.697
 288.0 11.6661 11.6288 35.5273 27.0696  5.703
 289.0 11.6590 11.6216 35.5267 27.0705  5.714
 290.0 11.6538 11.6163 35.5250 27.0702  5.732
 291.0 11.6510 11.6134 35.5247 27.0705  5.746
 292.0 11.6436 11.6059 35.5240 27.0713  5.752
 293.0 11.6390 11.6011 35.5221 27.0708  5.753
 294.0 11.6395 11.6015 35.5218 27.0704  5.753
 295.0 11.6368 11.5987 35.5226 27.0716  5.751
 296.0 11.6291 11.5909 35.5224 27.0730  5.751
 297.0 11.6200 11.5817 35.5207 27.0734  5.754
 298.0 11.6130 11.5746 35.5189 27.0733  5.751
 299.0 11.6059 11.5674 35.5174 27.0735  5.745
 300.0 11.5988 11.5601 35.5166 27.0742  5.744
 301.0 11.5937 11.5549 35.5155 27.0743  5.739
 302.0 11.5887 11.5498 35.5146 27.0746  5.738
 303.0 11.5834 11.5444 35.5141 27.0752  5.740
 304.0 11.5786 11.5395 35.5133 27.0755  5.736
 305.0 11.5714 11.5321 35.5124 27.0762  5.729
 306.0 11.5639 11.5245 35.5103 27.0760  5.720
 307.0 11.5560 11.5165 35.5096 27.0769  5.711
 308.0 11.5438 11.5042 35.5082 27.0782  5.709
 309.0 11.5323 11.4926 35.5064 27.0790  5.708
 310.0 11.5180 11.4782 35.5066 27.0818  5.700
 311.0 11.4952 11.4553 35.5043 27.0843  5.691
 312.0 11.4684 11.4285 35.4989 27.0852  5.678
 313.0 11.4463 11.4063 35.4920 27.0839  5.659
 314.0 11.4349 11.3947 35.4878 27.0828  5.639
